CATNUM	NAME	RA_OBJ	DEC_OBJ	GLON_OBJ	GLAT_OBJ	ALWAYS_CLEAN
6N	30S	9N	9N	9N	9N	1N
0  TRIGGER 35019  194.04625   -5.78919    0.00000    0.00000  F
1  Crab Nebula/Pulsar   83.63320   22.01450  184.55751   -5.78427  T
2  Cyg X-1  299.59030   35.20160   71.33498    3.06684  T
3  Sco X-1  244.97950  -15.64020  359.09428   23.78442  T
4  Her X-1  254.45760   35.34240   58.14909   37.52300  T
5  Vela X-1  135.52860  -40.55470  263.05830    3.92986  T
6  1E 1740.7-2942  265.97850  -29.74520  359.11595   -0.10580  T
7  GRS 1915+105  288.79830   10.94560   45.36566   -0.21933  T
38  Cyg X-3  308.10740   40.95780   79.84551    0.70009  T
51  GX 301-2  186.65670  -62.77060  300.09820   -0.03544  T
100  EXO 2030+375  308.06330   37.63750   77.15174   -1.24155  T
102  GRO J2058+42  314.69790   41.77690   83.56974   -2.65546  F
103  4U 0614+091   94.28040    9.13690  200.87739   -3.36355  T
104  Cen X-3  170.31580  -60.62300  292.09142    0.33675  T
105  4U 1323-619  201.65040  -62.13610  307.02807    0.45566  T
106  PSR B1509-58  228.48130  -59.13580  320.32060   -1.16176  T
107  4U 1636-536  250.23130  -53.75140  332.91490   -4.81800  T
108  4U 1702-429  256.56380  -43.03580  343.88680   -1.31834  T
109  4U 1705-440  257.22700  -44.10200  343.32087   -2.34191  T
110  H 1538-522  235.59710  -52.38610  327.41951    2.16370  T
111  GX 340+0  251.44880  -45.61110  339.58816   -0.07943  T
112  4U 1700-377  255.98660  -37.84410  347.75448    2.17348  T
113  Circinus Galaxy  213.29130  -65.33900  311.32599   -3.80784  T
114  GX 1+4  263.00900  -24.74560    1.93704    4.79493  T
115  GRS 1758-258  270.30120  -25.74330    4.50764   -1.36067  T
116  GX 17+2  274.00580  -14.03640   16.43209    1.27758  T
117  4U 1909+07  287.70000    7.59830   41.89716   -0.81057  T
118  KS 1947+300  297.37710   30.20670   66.08806    2.09797  F
119  Cyg X-2  326.17170   38.32170   87.32852  -11.31626  T
120  2E 2321.4+4154  350.96900   42.18200  106.06367  -17.80370  F
121  GK Per   52.79930   43.90470  150.95529  -10.10411  T
122  X Per   58.84620   31.04580  163.08141  -17.13620  T
123  Vela Pulsar  128.83610  -45.17640  263.55195   -2.78722  T
124  NGC 2997  146.41200  -31.19100  262.57891   16.76367  F
125  1E 1145.1-6141  176.86920  -61.95390  295.48989   -0.00985  T
126  Cen A  201.36510  -43.01910  309.51593   19.41728  T
127  4U 1145-61  177.00010  -62.20690  295.61111   -0.24022  F
128  NGC 4151  182.63570   39.40570  155.07750   75.06317  T
130  XTE J1855-026  283.88040   -2.60670   31.07624   -2.09629  T
131  3C 273  187.27790    2.05240  289.95084   64.35999  T
132  3C 382  278.76410   32.69630   61.30519   17.44589  F
133  2S 0114+650   19.51120   65.29160  125.70997    2.56346  T
136  SS 433  287.95650    4.98270   39.69406   -2.24459  T
137  2MASX J05054575-2351139   76.44050  -23.85390  224.94981  -33.13143  F
138  4U 1722-30  261.88830  -30.80190  356.31992    2.29811  T
139  4U 1812-12  273.80000  -12.08330   18.05552    2.38303  T
140  4U 1907+09  287.40790    9.83030   43.74374    0.47609  T
141  4U 2206+54  331.98430   54.51850  100.60329   -1.10587  T
143  Cygnus A  299.86820   40.73390   76.18988    5.75535  T
144  4U 1626-67  248.07000  -67.46190  321.78761  -13.09237  T
145  ESO 103-035  279.58480  -65.42760  329.77872  -23.17541  F
146  NGC 2110   88.04740   -7.45620  212.92629  -16.54531  T
147  4U 2129+12  322.49290   12.16740   65.01288  -27.31226  F
148  GX 349+2  256.43540  -36.42310  349.10359    2.74839  T
149  GX 9+9  262.93420  -16.96170    8.51284    9.03768  T
150  IC 4329A  207.33030  -30.30940  317.49631   30.92006  T
151  IGR J19140+0951  288.50830    9.88830   44.29690   -0.45813  T
152  OAO 1657-415  255.19960  -41.67310  344.35377    0.31110  T
153  LMC X-4   83.20750  -66.37050  276.33509  -32.52867  T
154  4U 1728-34  262.98920  -33.83470  354.30223   -0.15015  T
156  NGC 2691  133.69300   39.53900  182.67199   39.94611  F
157  NGC 3516  166.69790   72.56860  133.23565   42.40281  T
158  NGC 3783  174.75720  -37.73860  287.45603   22.94746  T
159  NGC 4388  186.44480   12.66210  279.12096   74.33545  T
160  NGC 4507  188.90260  -39.90930  299.63882   22.86123  T
161  NGC 4945  196.36450  -49.46820  305.27208   13.33984  T
162  NGC 5506  213.31190   -3.20750  339.15023   53.81026  T
163  28P 206  321.16430   50.97350   93.31909    0.39348  T
164  1RXP J130159.6-635806  195.49830  -63.96830  304.08991   -1.12029  F
165  DENIS-P J113106.9-625649  172.77880  -62.94670  293.94486   -1.48498  F
166  RX J2133.7+5107  323.43200   51.12360   94.45770   -0.47735  F
167  SMC X-1   19.27140  -73.44330  300.41496  -43.55939  T
168  MCG -05-23-016  146.91730  -30.94890  262.74418   17.23373  T
169  Ser X-1  279.98960    5.03580   36.11794    4.84229  T
170  V709 Cas    7.20360   59.28940  120.04166   -3.45533  T
171  XTE J1118+480  169.54500   48.03700  157.66056   62.32035  T
172  2E 1742.9-2929  266.52290  -29.51530  359.55910   -0.38934  T
173  XTE J1743-363  265.75000  -36.34500  353.39151   -3.40193  F
174  4U 1822-371  276.44500  -37.10530  356.85010  -11.29081  T
175  XTE J1710-281  257.55130  -28.13170  356.35710    6.92194  F
176  GX 13+1  273.63150  -17.15740   13.51656    0.10633  T
178  4U 1705-32  257.22670  -32.31600  352.79367    4.68131  F
179  MXB 1730-335  263.35042  -33.38778  354.84091   -0.15833  T
180  SLX 1735-269  264.56670  -27.00440    0.78516    2.39814  T
181  4U 1820-30  275.91860  -30.36110    2.78818   -7.91334  T
182  SLX 1744-299  266.85790  -29.99940  359.29617   -0.88915  T
