No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1|   SWIFT J0001.0-0708|  0.2199| -7.1396|    9.02|       2MASX J00004876-0709117|                               |  0.2032| -7.1532|   15.63|   12.78|   18.75|  |   2.17|   1.92|   2.44|      1.85|  0.0375|     43.72|  1        |          5|Sy1.9
2|   SWIFT J0001.6-7701|  0.3639|-77.0048|    5.30|                  Fairall 1203|                               |  0.4419|-76.9540|    9.77|    7.06|   12.75|  |   1.88|   1.51|   2.30|      3.15|  0.0584|     43.91|  1        |          4|Sy1
3|   SWIFT J0002.5+0323|  0.6136|  3.3724|    6.11|                      NGC 7811|                               |  0.6103|  3.3519|   11.93|    8.44|   15.77|  |   1.75|   1.35|   2.20|      0.88|  0.0255|     43.26|  1        |          4|Sy1.5
4|   SWIFT J0003.3+2737|  0.8799| 27.6323|    6.54|       2MASX J00032742+2739173|                               |  0.8643| 27.6548|   11.52|    8.59|   14.77|  |   1.98|   1.61|   2.38|      0.54|  0.0396|     43.64|  1        |          5|Sy2
5|   SWIFT J0005.0+7021|  0.9817| 70.3316|    7.10|       2MASX J00040192+7019185|                               |  1.0082| 70.3217|   12.26|    9.45|   15.32|  |   1.88|   1.56|   2.23|      0.97|  0.0960|     44.47|  1        |          5|Sy1.9
6|   SWIFT J0006.2+2012|  1.5700| 20.2284|   10.01|                       Mrk 335|                               |  1.5813| 20.2029|   13.92|   11.43|   16.64|  |   2.35|   2.09|   2.65|      1.83|  0.0258|     43.34|  1        |          4|Sy1.2
7|   SWIFT J0009.4-0037|  2.3208| -0.6279|    5.66|       2MASX J00091156-0036551|                               |  2.2982| -0.6152|   10.57|    7.18|   14.40|  |   1.76|   1.32|   2.25|      0.57|  0.0733|     44.15|  1        |          5|Sy2
8|   SWIFT J0010.5+1057|  2.6126| 10.9682|   14.79|                      Mrk 1501|                               |  2.6292| 10.9749|   27.27|   23.99|   30.72|  |   1.84|   1.68|   2.01|      1.33|  0.0893|     44.75|  1        |          7|BZQ
9|   SWIFT J0017.1+8134|  4.6246| 81.5648|    8.69|               [HB89] 0014+813|                               |  4.2853| 81.5856|   11.28|    8.72|   14.12|  |   2.18|   1.82|   2.61|      2.41|  3.3660|     48.07|  1        |          7|BZQ
10|   SWIFT J0021.2-1909|  5.2891|-19.1688|   10.38|       2MASX J00210753-1910056|                               |  5.2814|-19.1682|   16.25|   13.37|   19.36|  |   2.18|   1.93|   2.47|      0.20|  0.0956|     44.59|  1        |          5|Sy1.9
11|   SWIFT J0023.2+6142|  5.8183| 61.6632|    8.19|               IGR J00234+6141|                               |  5.7000| 61.6600|   11.33|    8.95|   13.95|  |   2.29|   1.96|   2.66|      0.46|     NA |        NA|  1        |          9|CV
12|   SWIFT J0025.2+6410|  6.3023| 64.1396|   11.93|                     Tycho SNR|                               |  6.2840| 64.1650|   12.82|   10.97|   14.86|  |   3.06|   2.74|   3.43|      2.37|     NA |        NA|  1        |         11|SNR
